"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Logan County, KS"	"20109"	Suppressed	2825	Suppressed	Suppressed	Suppressed	Suppressed
	"Lyon County, KS"	"20111"	Suppressed	33339	Suppressed	Suppressed	Suppressed	Suppressed
	"McPherson County, KS"	"20113"	Suppressed	28941	Suppressed	Suppressed	Suppressed	Suppressed
	"Marion County, KS"	"20115"	Suppressed	12103	Suppressed	Suppressed	Suppressed	Suppressed
	"Marshall County, KS"	"20117"	Suppressed	9936	Suppressed	Suppressed	Suppressed	Suppressed
	"Meade County, KS"	"20119"	Suppressed	4330	Suppressed	Suppressed	Suppressed	Suppressed
	"Miami County, KS"	"20121"	Suppressed	32553	Suppressed	Suppressed	Suppressed	Suppressed
	"Mitchell County, KS"	"20123"	Suppressed	6282	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, KS"	"20125"	Suppressed	33314	Suppressed	Suppressed	Suppressed	Suppressed
	"Morris County, KS"	"20127"	Suppressed	5645	Suppressed	Suppressed	Suppressed	Suppressed
	"Morton County, KS"	"20129"	Suppressed	3007	Suppressed	Suppressed	Suppressed	Suppressed
	"Nemaha County, KS"	"20131"	Suppressed	10227	Suppressed	Suppressed	Suppressed	Suppressed
	"Neosho County, KS"	"20133"	Suppressed	16346	Suppressed	Suppressed	Suppressed	Suppressed
	"Ness County, KS"	"20135"	Suppressed	3005	Suppressed	Suppressed	Suppressed	Suppressed
	"Norton County, KS"	"20137"	Suppressed	5550	Suppressed	Suppressed	Suppressed	Suppressed
	"Osage County, KS"	"20139"	Suppressed	15847	Suppressed	Suppressed	Suppressed	Suppressed
	"Osborne County, KS"	"20141"	Suppressed	3683	Suppressed	Suppressed	Suppressed	Suppressed
	"Ottawa County, KS"	"20143"	Suppressed	5975	Suppressed	Suppressed	Suppressed	Suppressed
	"Pawnee County, KS"	"20145"	Suppressed	6838	Suppressed	Suppressed	Suppressed	Suppressed
	"Phillips County, KS"	"20147"	Suppressed	5428	Suppressed	Suppressed	Suppressed	Suppressed
	"Pottawatomie County, KS"	"20149"	Suppressed	23298	Suppressed	Suppressed	Suppressed	Suppressed
	"Pratt County, KS"	"20151"	Suppressed	9691	Suppressed	Suppressed	Suppressed	Suppressed
	"Rawlins County, KS"	"20153"	Suppressed	2506	Suppressed	Suppressed	Suppressed	Suppressed
	"Reno County, KS"	"20155"	12	63718	Unreliable	9.7	32.9	5.4
	"Republic County, KS"	"20157"	Suppressed	4725	Suppressed	Suppressed	Suppressed	Suppressed
	"Rice County, KS"	"20159"	Suppressed	9977	Suppressed	Suppressed	Suppressed	Suppressed
	"Riley County, KS"	"20161"	Suppressed	75247	Suppressed	Suppressed	Suppressed	Suppressed
	"Rooks County, KS"	"20163"	Suppressed	5174	Suppressed	Suppressed	Suppressed	Suppressed
	"Rush County, KS"	"20165"	Suppressed	3130	Suppressed	Suppressed	Suppressed	Suppressed
	"Russell County, KS"	"20167"	Suppressed	7039	Suppressed	Suppressed	Suppressed	Suppressed
	"Saline County, KS"	"20169"	Suppressed	55691	Suppressed	Suppressed	Suppressed	Suppressed
	"Scott County, KS"	"20171"	Suppressed	4964	Suppressed	Suppressed	Suppressed	Suppressed
	"Sedgwick County, KS"	"20173"	78	511574	15.2	12.1	19.0	1.7
	"Seward County, KS"	"20175"	Suppressed	23152	Suppressed	Suppressed	Suppressed	Suppressed
	"Shawnee County, KS"	"20177"	42	178725	23.5	16.9	31.8	3.6
	"Sheridan County, KS"	"20179"	Suppressed	2512	Suppressed	Suppressed	Suppressed	Suppressed
	"Sherman County, KS"	"20181"	Suppressed	5983	Suppressed	Suppressed	Suppressed	Suppressed
	"Smith County, KS"	"20183"	Suppressed	3704	Suppressed	Suppressed	Suppressed	Suppressed
	"Stafford County, KS"	"20185"	Suppressed	4236	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanton County, KS"	"20187"	Suppressed	2072	Suppressed	Suppressed	Suppressed	Suppressed
	"Stevens County, KS"	"20189"	Suppressed	5806	Suppressed	Suppressed	Suppressed	Suppressed
	"Sumner County, KS"	"20191"	Suppressed	23535	Suppressed	Suppressed	Suppressed	Suppressed
	"Thomas County, KS"	"20193"	Suppressed	7904	Suppressed	Suppressed	Suppressed	Suppressed
	"Trego County, KS"	"20195"	Suppressed	2927	Suppressed	Suppressed	Suppressed	Suppressed
	"Wabaunsee County, KS"	"20197"	Suppressed	6951	Suppressed	Suppressed	Suppressed	Suppressed
	"Wallace County, KS"	"20199"	Suppressed	1518	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, KS"	"20201"	Suppressed	5598	Suppressed	Suppressed	Suppressed	Suppressed
	"Wichita County, KS"	"20203"	Suppressed	2157	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, KS"	"20205"	Suppressed	8856	Suppressed	Suppressed	Suppressed	Suppressed
	"Woodson County, KS"	"20207"	Suppressed	3115	Suppressed	Suppressed	Suppressed	Suppressed
	"Wyandotte County, KS"	"20209"	28	163369	17.1	11.4	24.8	3.2
	"Adair County, KY"	"21001"	Suppressed	19027	Suppressed	Suppressed	Suppressed	Suppressed
	"Allen County, KY"	"21003"	Suppressed	20640	Suppressed	Suppressed	Suppressed	Suppressed
	"Anderson County, KY"	"21005"	Suppressed	21979	Suppressed	Suppressed	Suppressed	Suppressed
	"Ballard County, KY"	"21007"	Suppressed	8212	Suppressed	Suppressed	Suppressed	Suppressed
	"Barren County, KY"	"21009"	Suppressed	43570	Suppressed	Suppressed	Suppressed	Suppressed
	"Bath County, KY"	"21011"	Suppressed	12228	Suppressed	Suppressed	Suppressed	Suppressed
	"Bell County, KY"	"21013"	Suppressed	27337	Suppressed	Suppressed	Suppressed	Suppressed
	"Boone County, KY"	"21015"	22	127712	17.2	10.8	26.1	3.7
	"Bourbon County, KY"	"21017"	Suppressed	20116	Suppressed	Suppressed	Suppressed	Suppressed
	"Boyd County, KY"	"21019"	11	48325	Unreliable	11.4	40.7	6.9
	"Boyle County, KY"	"21021"	Suppressed	29809	Suppressed	Suppressed	Suppressed	Suppressed
	"Bracken County, KY"	"21023"	Suppressed	8321	Suppressed	Suppressed	Suppressed	Suppressed
	"Breathitt County, KY"	"21025"	Suppressed	13484	Suppressed	Suppressed	Suppressed	Suppressed
	"Breckinridge County, KY"	"21027"	Suppressed	20018	Suppressed	Suppressed	Suppressed	Suppressed
	"Bullitt County, KY"	"21029"	17	78702	Unreliable	12.6	34.6	5.2
	"Butler County, KY"	"21031"	Suppressed	12938	Suppressed	Suppressed	Suppressed	Suppressed
	"Caldwell County, KY"	"21033"	Suppressed	12681	Suppressed	Suppressed	Suppressed	Suppressed
	"Calloway County, KY"	"21035"	Suppressed	38343	Suppressed	Suppressed	Suppressed	Suppressed
	"Campbell County, KY"	"21037"	13	92066	Unreliable	7.5	24.1	3.9
	"Carlisle County, KY"	"21039"	Suppressed	4874	Suppressed	Suppressed	Suppressed	Suppressed
	"Carroll County, KY"	"21041"	Suppressed	10699	Suppressed	Suppressed	Suppressed	Suppressed
	"Carter County, KY"	"21043"	Suppressed	27158	Suppressed	Suppressed	Suppressed	Suppressed
	"Casey County, KY"	"21045"	Suppressed	15808	Suppressed	Suppressed	Suppressed	Suppressed
	"Christian County, KY"	"21047"	11	73309	Unreliable	7.5	26.8	4.5
	"Clark County, KY"	"21049"	10	35757	Unreliable	13.4	51.4	8.8
	"Clay County, KY"	"21051"	Suppressed	21013	Suppressed	Suppressed	Suppressed	Suppressed
	"Clinton County, KY"	"21053"	Suppressed	10174	Suppressed	Suppressed	Suppressed	Suppressed
	"Crittenden County, KY"	"21055"	Suppressed	9183	Suppressed	Suppressed	Suppressed	Suppressed
	"Cumberland County, KY"	"21057"	Suppressed	6759	Suppressed	Suppressed	Suppressed	Suppressed
	"Daviess County, KY"	"21059"	19	99259	Unreliable	11.5	29.9	4.4
	"Edmonson County, KY"	"21061"	Suppressed	12007	Suppressed	Suppressed	Suppressed	Suppressed
	"Elliott County, KY"	"21063"	Suppressed	7648	Suppressed	Suppressed	Suppressed	Suppressed
	"Estill County, KY"	"21065"	Suppressed	14375	Suppressed	Suppressed	Suppressed	Suppressed
	"Fayette County, KY"	"21067"	36	314488	11.4	8.0	15.8	1.9
	"Fleming County, KY"	"21069"	Suppressed	14637	Suppressed	Suppressed	Suppressed	Suppressed
	"Floyd County, KY"	"21071"	Suppressed	37756	Suppressed	Suppressed	Suppressed	Suppressed
	"Franklin County, KY"	"21073"	Suppressed	50375	Suppressed	Suppressed	Suppressed	Suppressed
	"Fulton County, KY"	"21075"	Suppressed	6238	Suppressed	Suppressed	Suppressed	Suppressed
	"Gallatin County, KY"	"21077"	Suppressed	8636	Suppressed	Suppressed	Suppressed	Suppressed
	"Garrard County, KY"	"21079"	Suppressed	17237	Suppressed	Suppressed	Suppressed	Suppressed
	"Grant County, KY"	"21081"	Suppressed	24757	Suppressed	Suppressed	Suppressed	Suppressed
	"Graves County, KY"	"21083"	Suppressed	37421	Suppressed	Suppressed	Suppressed	Suppressed
	"Grayson County, KY"	"21085"	Suppressed	26221	Suppressed	Suppressed	Suppressed	Suppressed
	"Green County, KY"	"21087"	Suppressed	11010	Suppressed	Suppressed	Suppressed	Suppressed
	"Greenup County, KY"	"21089"	Suppressed	36068	Suppressed	Suppressed	Suppressed	Suppressed
	"Hancock County, KY"	"21091"	Suppressed	8692	Suppressed	Suppressed	Suppressed	Suppressed
	"Hardin County, KY"	"21093"	11	106439	Unreliable	5.2	18.5	3.1
	"Harlan County, KY"	"21095"	Suppressed	27703	Suppressed	Suppressed	Suppressed	Suppressed
	"Harrison County, KY"	"21097"	Suppressed	18763	Suppressed	Suppressed	Suppressed	Suppressed
	"Hart County, KY"	"21099"	Suppressed	18454	Suppressed	Suppressed	Suppressed	Suppressed
	"Henderson County, KY"	"21101"	12	46407	Unreliable	13.4	45.2	7.5
	"Henry County, KY"	"21103"	Suppressed	15620	Suppressed	Suppressed	Suppressed	Suppressed
	"Hickman County, KY"	"21105"	Suppressed	4612	Suppressed	Suppressed	Suppressed	Suppressed
	"Hopkins County, KY"	"21107"	13	46222	Unreliable	15.0	48.1	7.8
	"Jackson County, KY"	"21109"	Suppressed	13352	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, KY"	"21111"	134	763623	17.5	14.6	20.5	1.5
	"Jessamine County, KY"	"21113"	Suppressed	51961	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnson County, KY"	"21115"	Suppressed	23175	Suppressed	Suppressed	Suppressed	Suppressed
	"Kenton County, KY"	"21117"	20	165012	12.1	7.4	18.7	2.7
	"Knott County, KY"	"21119"	Suppressed	15693	Suppressed	Suppressed	Suppressed	Suppressed
	"Knox County, KY"	"21121"	Suppressed	31730	Suppressed	Suppressed	Suppressed	Suppressed
	"Larue County, KY"	"21123"	Suppressed	14241	Suppressed	Suppressed	Suppressed	Suppressed
	"Laurel County, KY"	"21125"	11	60094	Unreliable	9.1	32.8	5.5
	"Lawrence County, KY"	"21127"	Suppressed	15745	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, KY"	"21129"	Suppressed	6752	Suppressed	Suppressed	Suppressed	Suppressed
	"Leslie County, KY"	"21131"	Suppressed	10711	Suppressed	Suppressed	Suppressed	Suppressed
	"Letcher County, KY"	"21133"	Suppressed	23123	Suppressed	Suppressed	Suppressed	Suppressed
	"Lewis County, KY"	"21135"	Suppressed	13682	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, KY"	"21137"	Suppressed	24463	Suppressed	Suppressed	Suppressed	Suppressed
	"Livingston County, KY"	"21139"	Suppressed	9316	Suppressed	Suppressed	Suppressed	Suppressed
	"Logan County, KY"	"21141"	Suppressed	26910	Suppressed	Suppressed	Suppressed	Suppressed
	"Lyon County, KY"	"21143"	Suppressed	8306	Suppressed	Suppressed	Suppressed	Suppressed
	"McCracken County, KY"	"21145"	13	65018	Unreliable	10.6	34.2	5.5
	"McCreary County, KY"	"21147"	Suppressed	17878	Suppressed	Suppressed	Suppressed	Suppressed
	"McLean County, KY"	"21149"	Suppressed	9512	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, KY"	"21151"	15	87824	Unreliable	9.6	28.2	4.4
	"Magoffin County, KY"	"21153"	Suppressed	12808	Suppressed	Suppressed	Suppressed	Suppressed
