"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Autauga County, AL"	"01001"	Suppressed	55347	Suppressed	Suppressed	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	45	203709	22.1	16.1	29.6	3.3
	"Barbour County, AL"	"01005"	Suppressed	26489	Suppressed	Suppressed	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22583	Suppressed	Suppressed	Suppressed	Suppressed
	"Blount County, AL"	"01009"	10	57673	Unreliable	8.3	31.9	5.5
	"Bullock County, AL"	"01011"	Suppressed	10696	Suppressed	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20154	Suppressed	Suppressed	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	24	115620	20.8	13.3	30.9	4.2
	"Chambers County, AL"	"01017"	Suppressed	34123	Suppressed	Suppressed	Suppressed	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25859	Suppressed	Suppressed	Suppressed	Suppressed
	"Chilton County, AL"	"01021"	11	43943	Unreliable	12.5	44.8	7.5
	"Choctaw County, AL"	"01023"	Suppressed	13170	Suppressed	Suppressed	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	24675	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13555	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	15018	Suppressed	Suppressed	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	51211	Suppressed	Suppressed	Suppressed	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54354	Suppressed	Suppressed	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12672	Suppressed	Suppressed	Suppressed	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10724	Suppressed	Suppressed	Suppressed	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37835	Suppressed	Suppressed	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13963	Suppressed	Suppressed	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	18	82005	Unreliable	13.0	34.7	5.2
	"Dale County, AL"	"01045"	Suppressed	49565	Suppressed	Suppressed	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	41131	Suppressed	Suppressed	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	12	71130	Unreliable	8.7	29.5	4.9
	"Elmore County, AL"	"01051"	13	81468	Unreliable	8.5	27.3	4.4
	"Escambia County, AL"	"01053"	Suppressed	37789	Suppressed	Suppressed	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	15	103057	Unreliable	8.1	24.0	3.8
	"Fayette County, AL"	"01057"	Suppressed	16759	Suppressed	Suppressed	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31696	Suppressed	Suppressed	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26777	Suppressed	Suppressed	Suppressed	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8479	Suppressed	Suppressed	Suppressed	Suppressed
	"Hale County, AL"	"01065"	Suppressed	15068	Suppressed	Suppressed	Suppressed	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17221	Suppressed	Suppressed	Suppressed	Suppressed
	"Houston County, AL"	"01069"	21	104173	20.2	12.5	30.8	4.4
	"Jackson County, AL"	"01071"	12	52419	Unreliable	11.8	40.0	6.6
	"Jefferson County, AL"	"01073"	97	660367	14.7	11.9	17.9	1.5
	"Lamar County, AL"	"01075"	Suppressed	13886	Suppressed	Suppressed	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	12	92596	Unreliable	6.7	22.6	3.7
	"Lawrence County, AL"	"01079"	Suppressed	33115	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, AL"	"01081"	17	156993	Unreliable	6.3	17.3	2.6
	"Limestone County, AL"	"01083"	10	91663	Unreliable	5.2	20.1	3.4
	"Lowndes County, AL"	"01085"	Suppressed	10458	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, AL"	"01087"	Suppressed	19105	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, AL"	"01089"	59	353089	16.7	12.7	21.6	2.2
	"Marengo County, AL"	"01091"	Suppressed	20028	Suppressed	Suppressed	Suppressed	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30168	Suppressed	Suppressed	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	18	94725	Unreliable	11.3	30.0	4.5
	"Mobile County, AL"	"01097"	66	415395	15.9	12.3	20.2	2.0
	"Monroe County, AL"	"01099"	Suppressed	21673	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	26	226519	11.5	7.5	16.8	2.3
	"Morgan County, AL"	"01103"	18	119565	Unreliable	8.9	23.8	3.5
	"Perry County, AL"	"01105"	Suppressed	9652	Suppressed	Suppressed	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	20864	Suppressed	Suppressed	Suppressed	Suppressed
	"Pike County, AL"	"01109"	Suppressed	33046	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22696	Suppressed	Suppressed	Suppressed	Suppressed
	"Russell County, AL"	"01113"	10	59660	Unreliable	8.0	30.8	5.3
	"St. Clair County, AL"	"01115"	15	87074	Unreliable	9.6	28.4	4.4
	"Shelby County, AL"	"01117"	33	208713	15.8	10.9	22.2	2.8
	"Sumter County, AL"	"01119"	Suppressed	13103	Suppressed	Suppressed	Suppressed	Suppressed
	"Talladega County, AL"	"01121"	20	80862	24.7	15.1	38.2	5.5
	"Tallapoosa County, AL"	"01123"	Suppressed	40844	Suppressed	Suppressed	Suppressed	Suppressed
	"Tuscaloosa County, AL"	"01125"	18	203976	Unreliable	5.2	13.9	2.1
	"Walker County, AL"	"01127"	15	65294	Unreliable	12.9	37.9	5.9
	"Washington County, AL"	"01129"	Suppressed	16804	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	11059	Suppressed	Suppressed	Suppressed	Suppressed
	"Winston County, AL"	"01133"	Suppressed	23877	Suppressed	Suppressed	Suppressed	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3341	Suppressed	Suppressed	Suppressed	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5702	Suppressed	Suppressed	Suppressed	Suppressed
	"Anchorage Borough, AK"	"02020"	79	298695	26.4	20.9	33.0	3.0
	"Bethel Census Area, AK"	"02050"	Suppressed	17946	Suppressed	Suppressed	Suppressed	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	892	Suppressed	Suppressed	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1919	Suppressed	Suppressed	Suppressed	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4997	Suppressed	Suppressed	Suppressed	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	18	99631	Unreliable	10.7	28.6	4.3
	"Haines Borough, AK"	"02100"	Suppressed	2534	Suppressed	Suppressed	Suppressed	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	2133	Suppressed	Suppressed	Suppressed	Suppressed
	"Juneau Borough, AK"	"02110"	Suppressed	32756	Suppressed	Suppressed	Suppressed	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	17	58059	Unreliable	17.1	46.9	7.1
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13709	Suppressed	Suppressed	Suppressed	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13889	Suppressed	Suppressed	Suppressed	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1563	Suppressed	Suppressed	Suppressed	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	19	101095	Unreliable	11.3	29.3	4.3
	"Nome Census Area, AK"	"02180"	Suppressed	9846	Suppressed	Suppressed	Suppressed	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	9687	Suppressed	Suppressed	Suppressed	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7752	Suppressed	Suppressed	Suppressed	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	3177	Suppressed	Suppressed	Suppressed	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	6341	Suppressed	Suppressed	Suppressed	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	Suppressed	8863	Suppressed	Suppressed	Suppressed	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	1057	Suppressed	Suppressed	Suppressed	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6839	Suppressed	Suppressed	Suppressed	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	9362	Suppressed	Suppressed	Suppressed	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	16	8119	Unreliable	112.6	320.0	49.3
	"Wrangell City and Borough, AK"	"02275"	Suppressed	2382	Suppressed	Suppressed	Suppressed	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	Suppressed	613	Suppressed	Suppressed	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5533	Suppressed	Suppressed	Suppressed	Suppressed
	"Apache County, AZ"	"04001"	19	71474	Unreliable	16.0	41.5	6.1
	"Cochise County, AZ"	"04003"	27	126427	21.4	14.1	31.1	4.1
	"Coconino County, AZ"	"04005"	33	139097	23.7	16.3	33.3	4.1
	"Gila County, AZ"	"04007"	18	53159	Unreliable	20.1	53.5	8.0
	"Graham County, AZ"	"04009"	Suppressed	37666	Suppressed	Suppressed	Suppressed	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	9529	Suppressed	Suppressed	Suppressed	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	20152	Suppressed	Suppressed	Suppressed	Suppressed
	"Maricopa County, AZ"	"04013"	673	4167947	16.1	14.9	17.4	0.6
	"Mohave County, AZ"	"04015"	74	204737	36.1	28.4	45.4	4.2
	"Navajo County, AZ"	"04017"	29	108277	26.8	17.9	38.5	5.0
	"Pima County, AZ"	"04019"	202	1010025	20.0	17.2	22.8	1.4
	"Pinal County, AZ"	"04021"	71	406584	17.5	13.6	22.0	2.1
	"Santa Cruz County, AZ"	"04023"	Suppressed	46461	Suppressed	Suppressed	Suppressed	Suppressed
	"Yavapai County, AZ"	"04025"	79	222255	35.5	28.1	44.3	4.0
	"Yuma County, AZ"	"04027"	34	204275	16.6	11.5	23.3	2.9
	"Arkansas County, AR"	"05001"	Suppressed	18433	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	20838	Suppressed	Suppressed	Suppressed	Suppressed
	"Baxter County, AR"	"05005"	17	41053	Unreliable	24.1	66.3	10.0
	"Benton County, AR"	"05007"	49	249672	19.6	14.5	25.9	2.8
	"Boone County, AR"	"05009"	Suppressed	37222	Suppressed	Suppressed	Suppressed	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	11094	Suppressed	Suppressed	Suppressed	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5229	Suppressed	Suppressed	Suppressed	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	27704	Suppressed	Suppressed	Suppressed	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	11027	Suppressed	Suppressed	Suppressed	Suppressed
	"Clark County, AR"	"05019"	Suppressed	22633	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, AR"	"05021"	Suppressed	15109	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	25467	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	8311	Suppressed	Suppressed	Suppressed	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	24114	Suppressed	Suppressed	Suppressed	Suppressed
	"Conway County, AR"	"05029"	11	21019	Unreliable	26.1	93.6	15.8
	"Craighead County, AR"	"05031"	18	104354	Unreliable	10.2	27.3	4.1
	"Crawford County, AR"	"05033"	18	61703	Unreliable	17.3	46.1	6.9
	"Crittenden County, AR"	"05035"	Suppressed	48963	Suppressed	Suppressed	Suppressed	Suppressed
	"Cross County, AR"	"05037"	Suppressed	17284	Suppressed	Suppressed	Suppressed	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	7604	Suppressed	Suppressed	Suppressed	Suppressed
	"Desha County, AR"	"05041"	Suppressed	11965	Suppressed	Suppressed	Suppressed	Suppressed
	"Drew County, AR"	"05043"	Suppressed	18778	Suppressed	Suppressed	Suppressed	Suppressed
	"Faulkner County, AR"	"05045"	20	121552	16.5	10.1	25.4	3.7
	"Franklin County, AR"	"05047"	Suppressed	17702	Suppressed	Suppressed	Suppressed	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	12204	Suppressed	Suppressed	Suppressed	Suppressed
	"Garland County, AR"	"05051"	36	97177	37.0	25.9	51.3	6.2
	"Grant County, AR"	"05053"	Suppressed	18102	Suppressed	Suppressed	Suppressed	Suppressed
	"Greene County, AR"	"05055"	13	44196	Unreliable	15.7	50.3	8.2
	"Hempstead County, AR"	"05057"	Suppressed	22084	Suppressed	Suppressed	Suppressed	Suppressed
	"Hot Spring County, AR"	"05059"	11	33426	Unreliable	16.4	58.9	9.9
	"Howard County, AR"	"05061"	Suppressed	13300	Suppressed	Suppressed	Suppressed	Suppressed
	"Independence County, AR"	"05063"	Suppressed	37052	Suppressed	Suppressed	Suppressed	Suppressed
	"Izard County, AR"	"05065"	Suppressed	13445	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	17338	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, AR"	"05069"	10	71565	Unreliable	6.7	25.7	4.4
	"Johnson County, AR"	"05071"	Suppressed	26141	Suppressed	Suppressed	Suppressed	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	6996	Suppressed	Suppressed	Suppressed	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	16779	Suppressed	Suppressed	Suppressed	Suppressed
	"Lee County, AR"	"05077"	Suppressed	9650	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	13820	Suppressed	Suppressed	Suppressed	Suppressed
	"Little River County, AR"	"05081"	Suppressed	12472	Suppressed	Suppressed	Suppressed	Suppressed
	"Logan County, AR"	"05083"	Suppressed	21714	Suppressed	Suppressed	Suppressed	Suppressed
	"Lonoke County, AR"	"05085"	20	71645	27.9	17.1	43.1	6.2
	"Madison County, AR"	"05087"	Suppressed	15767	Suppressed	Suppressed	Suppressed	Suppressed
	"Marion County, AR"	"05089"	Suppressed	16185	Suppressed	Suppressed	Suppressed	Suppressed
	"Miller County, AR"	"05091"	Suppressed	43908	Suppressed	Suppressed	Suppressed	Suppressed
	"Mississippi County, AR"	"05093"	Suppressed	43738	Suppressed	Suppressed	Suppressed	Suppressed
	"Monroe County, AR"	"05095"	Suppressed	7399	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, AR"	"05097"	Suppressed	8970	Suppressed	Suppressed	Suppressed	Suppressed
	"Nevada County, AR"	"05099"	Suppressed	8558	Suppressed	Suppressed	Suppressed	Suppressed
	"Newton County, AR"	"05101"	Suppressed	7913	Suppressed	Suppressed	Suppressed	Suppressed
	"Ouachita County, AR"	"05103"	Suppressed	24358	Suppressed	Suppressed	Suppressed	Suppressed
	"Perry County, AR"	"05105"	Suppressed	10189	Suppressed	Suppressed	Suppressed	Suppressed
	"Phillips County, AR"	"05107"	Suppressed	19513	Suppressed	Suppressed	Suppressed	Suppressed
	"Pike County, AR"	"05109"	Suppressed	10824	Suppressed	Suppressed	Suppressed	Suppressed
	"Poinsett County, AR"	"05111"	Suppressed	24040	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, AR"	"05113"	Suppressed	20216	Suppressed	Suppressed	Suppressed	Suppressed
	"Pope County, AR"	"05115"	12	63390	Unreliable	9.8	33.1	5.5
	"Prairie County, AR"	"05117"	Suppressed	8291	Suppressed	Suppressed	Suppressed	Suppressed
	"Pulaski County, AR"	"05119"	56	392664	14.3	10.8	18.5	1.9
	"Randolph County, AR"	"05121"	Suppressed	17469	Suppressed	Suppressed	Suppressed	Suppressed
	"St. Francis County, AR"	"05123"	Suppressed	26589	Suppressed	Suppressed	Suppressed	Suppressed
	"Saline County, AR"	"05125"	22	117460	18.7	11.7	28.4	4.0
	"Scott County, AR"	"05127"	Suppressed	10513	Suppressed	Suppressed	Suppressed	Suppressed
	"Searcy County, AR"	"05129"	Suppressed	7869	Suppressed	Suppressed	Suppressed	Suppressed
	"Sebastian County, AR"	"05131"	24	127780	18.8	12.0	27.9	3.8
	"Sevier County, AR"	"05133"	Suppressed	17290	Suppressed	Suppressed	Suppressed	Suppressed
	"Sharp County, AR"	"05135"	Suppressed	16912	Suppressed	Suppressed	Suppressed	Suppressed
	"Stone County, AR"	"05137"	Suppressed	12456	Suppressed	Suppressed	Suppressed	Suppressed
	"Union County, AR"	"05139"	Suppressed	40144	Suppressed	Suppressed	Suppressed	Suppressed
	"Van Buren County, AR"	"05141"	Suppressed	16771	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, AR"	"05143"	35	225477	15.5	10.8	21.6	2.6
	"White County, AR"	"05145"	10	79161	Unreliable	6.1	23.2	4.0
	"Woodruff County, AR"	"05147"	Suppressed	6741	Suppressed	Suppressed	Suppressed	Suppressed
	"Yell County, AR"	"05149"	Suppressed	21713	Suppressed	Suppressed	Suppressed	Suppressed
	"Alameda County, CA"	"06001"	148	1638215	9.0	7.6	10.5	0.7
	"Alpine County, CA"	"06003"	Suppressed	1110	Suppressed	Suppressed	Suppressed	Suppressed
	"Amador County, CA"	"06005"	Suppressed	37001	Suppressed	Suppressed	Suppressed	Suppressed
	"Butte County, CA"	"06007"	40	225411	17.7	12.7	24.2	2.8
	"Calaveras County, CA"	"06009"	22	44828	49.1	30.8	74.3	10.5
	"Colusa County, CA"	"06011"	Suppressed	21482	Suppressed	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	110	1126745	9.8	7.9	11.6	0.9
	"Del Norte County, CA"	"06015"	Suppressed	27254	Suppressed	Suppressed	Suppressed	Suppressed
	"El Dorado County, CA"	"06017"	32	184452	17.3	11.9	24.5	3.1
	"Fresno County, CA"	"06019"	101	974861	10.4	8.3	12.4	1.0
	"Glenn County, CA"	"06021"	10	28017	Unreliable	17.1	65.6	11.3
	"Humboldt County, CA"	"06023"	41	135727	30.2	21.7	41.0	4.7
	"Imperial County, CA"	"06025"	18	180191	Unreliable	5.9	15.8	2.4
	"Inyo County, CA"	"06027"	Suppressed	18260	Suppressed	Suppressed	Suppressed	Suppressed
	"Kern County, CA"	"06029"	117	882176	13.3	10.9	15.7	1.2
	"Kings County, CA"	"06031"	14	150965	Unreliable	5.1	15.6	2.5
	"Lake County, CA"	"06033"	24	64591	37.2	23.8	55.3	7.6
	"Lassen County, CA"	"06035"	Suppressed	31345	Suppressed	Suppressed	Suppressed	Suppressed
	"Los Angeles County, CA"	"06037"	823	10170292	8.1	7.5	8.6	0.3
	"Madera County, CA"	"06039"	12	154998	Unreliable	4.0	13.5	2.2
	"Marin County, CA"	"06041"	31	261221	11.9	8.1	16.8	2.1
	"Mariposa County, CA"	"06043"	Suppressed	17531	Suppressed	Suppressed	Suppressed	Suppressed
	"Mendocino County, CA"	"06045"	15	87649	Unreliable	9.6	28.2	4.4
	"Merced County, CA"	"06047"	37	268455	13.8	9.7	19.0	2.3
	"Modoc County, CA"	"06049"	Suppressed	8965	Suppressed	Suppressed	Suppressed	Suppressed
	"Mono County, CA"	"06051"	Suppressed	13909	Suppressed	Suppressed	Suppressed	Suppressed
	"Monterey County, CA"	"06053"	52	433898	12.0	9.0	15.7	1.7
	"Napa County, CA"	"06055"	18	142456	Unreliable	7.5	20.0	3.0
	"Nevada County, CA"	"06057"	26	98877	26.3	17.2	38.5	5.2
	"Orange County, CA"	"06059"	293	3169776	9.2	8.2	10.3	0.5
	"Placer County, CA"	"06061"	46	375391	12.3	9.0	16.3	1.8
	"Plumas County, CA"	"06063"	Suppressed	18409	Suppressed	Suppressed	Suppressed	Suppressed
	"Riverside County, CA"	"06065"	257	2361026	10.9	9.6	12.2	0.7
	"Sacramento County, CA"	"06067"	195	1501335	13.0	11.2	14.8	0.9
	"San Benito County, CA"	"06069"	Suppressed	58792	Suppressed	Suppressed	Suppressed	Suppressed
	"San Bernardino County, CA"	"06071"	213	2128133	10.0	8.7	11.4	0.7
	"San Diego County, CA"	"06073"	411	3299521	12.5	11.3	13.7	0.6
	"San Francisco County, CA"	"06075"	98	864816	11.3	9.2	13.8	1.1
	"San Joaquin County, CA"	"06077"	68	726106	9.4	7.3	11.9	1.1
	"San Luis Obispo County, CA"	"06079"	49	281401	17.4	12.9	23.0	2.5
	"San Mateo County, CA"	"06081"	57	765135	7.4	5.6	9.7	1.0
	"Santa Barbara County, CA"	"06083"	69	444769	15.5	12.1	19.6	1.9
	"Santa Clara County, CA"	"06085"	156	1918044	8.1	6.9	9.4	0.7
	"Santa Cruz County, CA"	"06087"	45	274146	16.4	12.0	22.0	2.4
	"Shasta County, CA"	"06089"	45	179533	25.1	18.3	33.5	3.7
	"Sierra County, CA"	"06091"	Suppressed	2967	Suppressed	Suppressed	Suppressed	Suppressed
	"Siskiyou County, CA"	"06093"	12	43554	Unreliable	14.2	48.1	8.0
	"Solano County, CA"	"06095"	58	436092	13.3	10.1	17.2	1.7
	"Sonoma County, CA"	"06097"	66	502146	13.1	10.2	16.7	1.6
	"Stanislaus County, CA"	"06099"	49	538388	9.1	6.7	12.0	1.3
	"Sutter County, CA"	"06101"	10	96463	Unreliable	5.0	19.1	3.3
	"Tehama County, CA"	"06103"	Suppressed	63308	Suppressed	Suppressed	Suppressed	Suppressed
	"Trinity County, CA"	"06105"	Suppressed	13069	Suppressed	Suppressed	Suppressed	Suppressed
	"Tulare County, CA"	"06107"	54	459863	11.7	8.8	15.3	1.6
	"Tuolumne County, CA"	"06109"	16	53709	Unreliable	17.0	48.4	7.4
	"Ventura County, CA"	"06111"	109	850536	12.8	10.4	15.2	1.2
	"Yolo County, CA"	"06113"	26	213016	12.2	8.0	17.9	2.4
	"Yuba County, CA"	"06115"	15	74492	Unreliable	11.3	33.2	5.2
	"Adams County, CO"	"08001"	86	491337	17.5	14.0	21.6	1.9
	"Alamosa County, CO"	"08003"	Suppressed	16496	Suppressed	Suppressed	Suppressed	Suppressed
	"Arapahoe County, CO"	"08005"	106	631096	16.8	13.6	20.0	1.6
	"Archuleta County, CO"	"08007"	Suppressed	12352	Suppressed	Suppressed	Suppressed	Suppressed
	"Baca County, CO"	"08009"	Suppressed	3615	Suppressed	Suppressed	Suppressed	Suppressed
	"Bent County, CO"	"08011"	Suppressed	5830	Suppressed	Suppressed	Suppressed	Suppressed
	"Boulder County, CO"	"08013"	59	319372	18.5	14.1	23.8	2.4
	"Broomfield County, CO"	"08014"	11	65065	Unreliable	8.4	30.2	5.1
	"Chaffee County, CO"	"08015"	Suppressed	18658	Suppressed	Suppressed	Suppressed	Suppressed
	"Cheyenne County, CO"	"08017"	Suppressed	1829	Suppressed	Suppressed	Suppressed	Suppressed
	"Clear Creek County, CO"	"08019"	Suppressed	9303	Suppressed	Suppressed	Suppressed	Suppressed
	"Conejos County, CO"	"08021"	Suppressed	8130	Suppressed	Suppressed	Suppressed	Suppressed
	"Costilla County, CO"	"08023"	Suppressed	3584	Suppressed	Suppressed	Suppressed	Suppressed
	"Crowley County, CO"	"08025"	Suppressed	5562	Suppressed	Suppressed	Suppressed	Suppressed
	"Custer County, CO"	"08027"	Suppressed	4445	Suppressed	Suppressed	Suppressed	Suppressed
	"Delta County, CO"	"08029"	Suppressed	29979	Suppressed	Suppressed	Suppressed	Suppressed
	"Denver County, CO"	"08031"	97	682545	14.2	11.5	17.3	1.4
	"Dolores County, CO"	"08033"	Suppressed	1978	Suppressed	Suppressed	Suppressed	Suppressed
	"Douglas County, CO"	"08035"	51	322387	15.8	11.8	20.8	2.2
	"Eagle County, CO"	"08037"	Suppressed	53605	Suppressed	Suppressed	Suppressed	Suppressed
	"Elbert County, CO"	"08039"	Suppressed	24735	Suppressed	Suppressed	Suppressed	Suppressed
	"El Paso County, CO"	"08041"	172	674471	25.5	21.7	29.3	1.9
	"Fremont County, CO"	"08043"	12	46692	Unreliable	13.3	44.9	7.4
	"Garfield County, CO"	"08045"	Suppressed	58095	Suppressed	Suppressed	Suppressed	Suppressed
	"Gilpin County, CO"	"08047"	Suppressed	5828	Suppressed	Suppressed	Suppressed	Suppressed
	"Grand County, CO"	"08049"	Suppressed	14615	Suppressed	Suppressed	Suppressed	Suppressed
	"Gunnison County, CO"	"08051"	Suppressed	16067	Suppressed	Suppressed	Suppressed	Suppressed
	"Hinsdale County, CO"	"08053"	Suppressed	774	Suppressed	Suppressed	Suppressed	Suppressed
	"Huerfano County, CO"	"08055"	Suppressed	6492	Suppressed	Suppressed	Suppressed	Suppressed
	"Jackson County, CO"	"08057"	Suppressed	1356	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, CO"	"08059"	116	565524	20.5	16.8	24.2	1.9
	"Kiowa County, CO"	"08061"	Suppressed	1423	Suppressed	Suppressed	Suppressed	Suppressed
	"Kit Carson County, CO"	"08063"	Suppressed	7758	Suppressed	Suppressed	Suppressed	Suppressed
	"Lake County, CO"	"08065"	Suppressed	7485	Suppressed	Suppressed	Suppressed	Suppressed
	"La Plata County, CO"	"08067"	Suppressed	54688	Suppressed	Suppressed	Suppressed	Suppressed
	"Larimer County, CO"	"08069"	75	333577	22.5	17.7	28.2	2.6
	"Las Animas County, CO"	"08071"	Suppressed	14058	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, CO"	"08073"	Suppressed	5557	Suppressed	Suppressed	Suppressed	Suppressed
	"Logan County, CO"	"08075"	Suppressed	22036	Suppressed	Suppressed	Suppressed	Suppressed
	"Mesa County, CO"	"08077"	37	148513	24.9	17.5	34.3	4.1
	"Mineral County, CO"	"08079"	Suppressed	726	Suppressed	Suppressed	Suppressed	Suppressed
	"Moffat County, CO"	"08081"	Suppressed	12937	Suppressed	Suppressed	Suppressed	Suppressed
	"Montezuma County, CO"	"08083"	11	26168	Unreliable	21.0	75.2	12.7
	"Montrose County, CO"	"08085"	Suppressed	40946	Suppressed	Suppressed	Suppressed	Suppressed
	"Morgan County, CO"	"08087"	Suppressed	28360	Suppressed	Suppressed	Suppressed	Suppressed
	"Otero County, CO"	"08089"	Suppressed	18343	Suppressed	Suppressed	Suppressed	Suppressed
	"Ouray County, CO"	"08091"	Suppressed	4691	Suppressed	Suppressed	Suppressed	Suppressed
	"Park County, CO"	"08093"	Suppressed	16510	Suppressed	Suppressed	Suppressed	Suppressed
	"Phillips County, CO"	"08095"	Suppressed	4349	Suppressed	Suppressed	Suppressed	Suppressed
	"Pitkin County, CO"	"08097"	Suppressed	17787	Suppressed	Suppressed	Suppressed	Suppressed
	"Prowers County, CO"	"08099"	Suppressed	11954	Suppressed	Suppressed	Suppressed	Suppressed
	"Pueblo County, CO"	"08101"	47	163591	28.7	21.1	38.2	4.2
